iter	Passed	Remaining
559	36680	94321
560	36734	94227
561	36791	94138
562	36851	94059
563	36916	93993
564	36981	93925
565	37041	93846
566	37095	93752
567	37158	93680
568	37214	93593
569	37272	93508
570	37330	93424
571	37394	93354
572	37470	93316
573	37526	93228
574	37586	93150
575	37654	93089
576	37710	93000
577	37767	92915
578	37818	92815
579	37882	92747
580	37944	92672
581	37996	92575
582	38066	92520
583	38116	92418
584	38177	92345
585	38237	92266
586	38289	92168
587	38346	92084
588	38403	91998
589	38462	91917
590	38515	91824
591	38568	91731
592	38622	91639
593	38683	91563
594	38745	91490
595	38808	91421
596	38863	91332
597	38932	91277
598	39011	91244
599	39079	91185
600	39131	91090
601	39193	91016
602	39254	90943
603	39318	90874
604	39370	90779
605	39422	90685
606	39472	90584
607	39526	90494
608	39581	90406
609	39639	90326
610	39694	90239
611	39759	90173
612	39819	90096
613	39873	90007
614	39927	89917
615	39978	89822
616	40035	89739
617	40089	89650
618	40144	89562
619	40202	89482
620	40271	89427
621	40344	89380
622	40398	89291
623	40462	89225
624	40519	89142
625	40574	89056
626	40643	89000
627	40697	88913
628	40755	88832
629	40809	88743
630	40862	88654
631	40920	88573
632	40986	88513
633	41056	88458
634	41115	88381
635	41177	88311
636	41236	88233
637	41289	88145
638	41349	88068
639	41400	87976
640	41465	87912
641	41519	87823
642	41592	87777
643	41645	87688
644	41704	87612
645	41758	87524
646	41824	87463
647	41876	87372
648	41934	87292
649	41984	87198
650	42039	87113
651	42092	87025
652	42143	86933
653	42195	86842
654	42249	86756
655	42311	86686
656	42373	86617
657	42425	86526
658	42480	86443
659	42550	86390
660	42616	86328
661	42687	86278
662	42750	86210
663	42809	86135
664	42865	86052
665	42918	85965
666	42972	85880
667	43024	85792
668	43078	85705
669	43141	85638
670	43196	85556
671	43256	85482
672	43314	85405
673	43368	85321
674	43428	85247
675	43489	85178
676	43556	85118
677	43625	85064
678	43686	84992
679	43748	84923
680	43807	84848
681	43865	84772
682	43928	84705
683	44008	84671
684	44061	84584
685	44122	84515
686	44186	84448
687	44251	84386
688	44306	84303
689	44361	84222
690	44414	84137
691	44467	84051
692	44525	83976
693	44580	83894
694	44644	83828
695	44701	83750
696	44757	83671
697	44811	83588
698	44870	83514
699	44936	83452
700	45005	83397
701	45065	83326
702	45121	83247
703	45174	83161
704	45230	83083
705	45293	83015
706	45359	82956
707	45425	82895
708	45487	82827
709	45539	82740
710	45596	82664
711	45655	82590
712	45717	82522
713	45778	82453
714	45841	82386
715	45900	82313
716	45963	82247
717	46021	82172
718	46078	82096
719	46136	82020
720	46190	81938
721	46248	81864
722	46310	81795
723	46361	81708
724	46416	81629
725	46471	81548
726	46540	81494
727	46613	81446
728	46680	81386
729	46733	81303
730	46787	81221
731	46848	81152
732	46904	81075
733	46957	80991
734	47010	80909
735	47073	80844
736	47130	80767
737	47186	80690
738	47239	80606
739	47295	80530
740	47356	80461
741	47415	80389
742	47478	80322
743	47542	80259
744	47617	80214
745	47685	80157
746	47748	80091
747	47805	80017
748	47869	79953
749	47930	79884
750	47992	79817
751	48066	79769
752	48122	79693
753	48175	79610
754	48233	79537
755	48286	79455
756	48341	79377
757	48400	79305
758	48456	79228
759	48512	79152
760	48577	79090
761	48638	79020
762	48708	78967
763	48770	78900
764	48824	78821
765	48877	78740
766	48945	78683
767	48999	78602
768	49064	78541
769	49120	78465
770	49183	78399
771	49246	78334
772	49310	78272
773	49368	78198
774	49437	78143
775	49495	78070
776	49552	77996
777	49617	77933
778	49683	77873
779	49743	77803
780	49805	77737
781	49863	77664
782	49929	77604
783	49997	77546
784	50064	77489
785	50130	77428
786	50188	77355
787	50262	77306
788	50314	77225
789	50372	77152
790	50432	77082
791	50504	77032
792	50572	76974
793	50629	76900
794	50683	76822
795	50741	76748
796	50799	76676
797	50866	76618
798	50926	76548
799	50986	76480
800	51051	76418
801	51112	76350
802	51191	76309
803	51251	76240
804	51318	76181
805	51384	76120
806	51445	76053
807	51499	75973
808	51552	75894
809	51605	75815
810	51655	75731
811	51713	75659
812	51770	75586
813	51836	75525
814	51891	75450
815	51947	75375
816	52007	75305
817	52067	75236
818	52130	75172
819	52187	75098
820	52242	75023
821	52301	74953
822	52360	74882
823	52420	74813
824	52473	74735
825	52531	74663
826	52593	74597
827	52646	74518
828	52701	74443
829	52758	74370
830	52819	74303
